epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.571,1.60935,0.94711,1.15053,0.81094,0.56007,0.63583,0.33162,1.45521,0.72051,1.09019,0.00333126,0.00333126,0.00333126
2,639.385,1.54371,0.83353,1.08769,0.79293,0.53262,0.60045,0.31095,1.46869,0.78515,1.10063,0.00659862,0.00659862,0.00659862
3,951.839,1.60142,0.91676,1.10599,0.79052,0.51487,0.58518,0.30629,1.50902,0.82162,1.12878,0.00979997,0.00979997,0.00979997
4,1263.93,1.60386,0.93412,1.11795,0.78949,0.52735,0.59275,0.31436,1.46893,0.80445,1.12361,0.009703,0.009703,0.009703
5,1575.83,1.55223,0.87357,1.10497,0.81545,0.5378,0.61341,0.32684,1.43431,0.74819,1.10353,0.009604,0.009604,0.009604
6,1887.73,1.51401,0.83481,1.09458,0.82403,0.55232,0.62989,0.33923,1.41706,0.72809,1.10004,0.009505,0.009505,0.009505
7,2199.84,1.47755,0.79648,1.08381,0.83411,0.57223,0.64637,0.34683,1.40315,0.70419,1.09397,0.009406,0.009406,0.009406
8,2512.05,1.4688,0.78423,1.07251,0.83584,0.58372,0.66052,0.3585,1.38173,0.68035,1.0962,0.009307,0.009307,0.009307
9,2823.7,1.44335,0.76087,1.0646,0.8385,0.58155,0.66318,0.35975,1.36262,0.66231,1.07846,0.009208,0.009208,0.009208
10,3135.38,1.43511,0.75114,1.06462,0.84576,0.59443,0.67204,0.36283,1.36854,0.66024,1.08368,0.009109,0.009109,0.009109
11,3447.24,1.42024,0.73331,1.06034,0.85338,0.5932,0.6789,0.37291,1.3519,0.64654,1.07383,0.00901,0.00901,0.00901
12,3758.96,1.41093,0.72302,1.05632,0.8441,0.59764,0.67701,0.37494,1.34319,0.63824,1.06915,0.008911,0.008911,0.008911
13,4070.77,1.40449,0.72002,1.05449,0.84862,0.60691,0.68695,0.37925,1.33794,0.62607,1.07041,0.008812,0.008812,0.008812
14,4382.36,1.39892,0.71116,1.0507,0.85849,0.61366,0.69529,0.38684,1.32505,0.61292,1.05718,0.008713,0.008713,0.008713
15,4694.44,1.38331,0.69865,1.04562,0.85871,0.61241,0.69666,0.38838,1.31808,0.60562,1.06701,0.008614,0.008614,0.008614
16,5006.31,1.38484,0.69704,1.04627,0.85719,0.61571,0.69806,0.38748,1.31623,0.60415,1.05908,0.008515,0.008515,0.008515
17,5318.23,1.38062,0.69056,1.04369,0.86639,0.61566,0.70205,0.39162,1.31137,0.60411,1.06198,0.008416,0.008416,0.008416
18,5630.02,1.3722,0.68587,1.04304,0.86372,0.6177,0.70141,0.39193,1.3025,0.59525,1.05492,0.008317,0.008317,0.008317
19,5942.02,1.37436,0.68147,1.03779,0.86233,0.6242,0.70727,0.39469,1.30194,0.58997,1.05568,0.008218,0.008218,0.008218
20,6254.2,1.35937,0.669,1.03697,0.85912,0.63353,0.71374,0.4003,1.29817,0.58354,1.05593,0.008119,0.008119,0.008119
21,6565.95,1.35403,0.66796,1.03427,0.8626,0.62889,0.71211,0.39748,1.30261,0.5859,1.05235,0.00802,0.00802,0.00802
22,6877.96,1.35208,0.66504,1.03522,0.86314,0.63197,0.71629,0.40302,1.29637,0.57966,1.04959,0.007921,0.007921,0.007921
23,7190.3,1.34689,0.66124,1.03092,0.87138,0.63151,0.71615,0.40234,1.29093,0.5738,1.0508,0.007822,0.007822,0.007822
24,7502.21,1.35006,0.66042,1.03065,0.87167,0.62847,0.7159,0.40189,1.29409,0.57336,1.05257,0.007723,0.007723,0.007723
25,7813.94,1.34513,0.65471,1.03318,0.86749,0.63775,0.72288,0.40739,1.28328,0.56427,1.0497,0.007624,0.007624,0.007624
26,8125.84,1.34175,0.65062,1.02996,0.86597,0.63969,0.72368,0.41033,1.28141,0.56093,1.04951,0.007525,0.007525,0.007525
27,8437.38,1.33059,0.64309,1.02689,0.87088,0.64348,0.72716,0.41103,1.28053,0.55785,1.0497,0.007426,0.007426,0.007426
28,8749.44,1.32831,0.6414,1.02937,0.8642,0.64619,0.72851,0.41355,1.28046,0.55371,1.04518,0.007327,0.007327,0.007327
29,9061.34,1.32338,0.6358,1.02551,0.86849,0.64437,0.72832,0.41324,1.27856,0.55434,1.04948,0.007228,0.007228,0.007228
30,9373.29,1.32304,0.63427,1.02442,0.86795,0.64771,0.73097,0.41589,1.27475,0.5504,1.04477,0.007129,0.007129,0.007129
31,9685.27,1.32209,0.63301,1.02137,0.87127,0.64757,0.73386,0.4167,1.27257,0.54858,1.04103,0.00703,0.00703,0.00703
32,9996.82,1.31642,0.62891,1.02075,0.86952,0.64762,0.73368,0.41771,1.26905,0.54005,1.03702,0.006931,0.006931,0.006931
33,10309.1,1.32154,0.63268,1.01786,0.87224,0.64767,0.73254,0.41628,1.27107,0.54503,1.03855,0.006832,0.006832,0.006832
34,10621.2,1.30268,0.61826,1.0168,0.86948,0.65115,0.73398,0.41547,1.27166,0.54115,1.04457,0.006733,0.006733,0.006733
35,10932.9,1.30974,0.62252,1.01982,0.87714,0.64984,0.7368,0.41937,1.26573,0.54029,1.04285,0.006634,0.006634,0.006634
36,11244.9,1.29818,0.61496,1.01578,0.87337,0.65191,0.73812,0.42083,1.26171,0.53674,1.0425,0.006535,0.006535,0.006535
37,11556.6,1.30338,0.61746,1.01451,0.8733,0.65381,0.7387,0.42115,1.26206,0.53589,1.03561,0.006436,0.006436,0.006436
38,11868.1,1.29501,0.60917,1.01385,0.87143,0.65369,0.73809,0.42074,1.26154,0.53277,1.03892,0.006337,0.006337,0.006337
