epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.466,1.61739,0.97796,1.13437,0.80712,0.54373,0.61884,0.31992,1.46111,0.75583,1.07525,0.0033323,0.0033323,0.0033323
2,479.055,1.56773,0.8958,1.08617,0.78592,0.53103,0.59857,0.3142,1.46788,0.79263,1.09884,0.00659964,0.00659964,0.00659964
3,712.632,1.62517,0.98302,1.11295,0.77444,0.4906,0.55503,0.28168,1.55187,0.88486,1.13557,0.00980099,0.00980099,0.00980099
4,945.129,1.6338,1.00344,1.12749,0.80405,0.52676,0.59813,0.31308,1.47842,0.80804,1.11975,0.009703,0.009703,0.009703
5,1177.7,1.57821,0.93055,1.10441,0.81008,0.54205,0.61674,0.32967,1.44034,0.75933,1.10388,0.009604,0.009604,0.009604
6,1410.48,1.53799,0.88663,1.09448,0.82384,0.5476,0.62741,0.33417,1.41246,0.74317,1.08957,0.009505,0.009505,0.009505
7,1643.32,1.51487,0.85711,1.08738,0.82811,0.56295,0.64051,0.34291,1.39487,0.71662,1.08383,0.009406,0.009406,0.009406
8,1876.2,1.48961,0.82929,1.07843,0.83777,0.57329,0.65432,0.35222,1.37718,0.69795,1.07875,0.009307,0.009307,0.009307
9,2109.06,1.47839,0.8099,1.06937,0.83847,0.57925,0.65813,0.35751,1.36438,0.67626,1.07138,0.009208,0.009208,0.009208
10,2341.66,1.44887,0.78441,1.06446,0.83908,0.58539,0.66455,0.3614,1.36862,0.68155,1.07147,0.009109,0.009109,0.009109
11,2574.5,1.44912,0.78479,1.06213,0.84164,0.59152,0.67212,0.36743,1.34862,0.66118,1.06237,0.00901,0.00901,0.00901
12,2807.34,1.43754,0.76797,1.06124,0.84777,0.59592,0.67628,0.37245,1.33368,0.65409,1.06018,0.008911,0.008911,0.008911
13,3039.95,1.42225,0.75291,1.05527,0.84499,0.5975,0.67833,0.37022,1.34525,0.64435,1.06172,0.008812,0.008812,0.008812
14,3272.74,1.42233,0.74804,1.05466,0.8477,0.60713,0.68673,0.37975,1.3318,0.63777,1.05693,0.008713,0.008713,0.008713
15,3505,1.41304,0.7411,1.051,0.85346,0.6064,0.68958,0.38131,1.32503,0.6258,1.05021,0.008614,0.008614,0.008614
16,3737.99,1.4055,0.73428,1.04589,0.85099,0.60914,0.69068,0.38052,1.31832,0.62102,1.0482,0.008515,0.008515,0.008515
17,3970.87,1.39761,0.72589,1.04495,0.84834,0.6098,0.68993,0.38168,1.31377,0.61831,1.04524,0.008416,0.008416,0.008416
18,4203.09,1.39247,0.72166,1.04185,0.85799,0.61141,0.69432,0.38681,1.31094,0.6175,1.04359,0.008317,0.008317,0.008317
19,4435.95,1.38492,0.71108,1.03646,0.85303,0.61851,0.69901,0.3885,1.3065,0.60368,1.03877,0.008218,0.008218,0.008218
20,4668.68,1.38468,0.70808,1.0356,0.85913,0.61717,0.70298,0.39363,1.29618,0.59644,1.03784,0.008119,0.008119,0.008119
21,4901.64,1.38064,0.70832,1.03505,0.86235,0.61658,0.6994,0.38804,1.30574,0.60082,1.04245,0.00802,0.00802,0.00802
22,5134.44,1.37855,0.69725,1.03582,0.86053,0.62177,0.70532,0.39365,1.29899,0.59276,1.03899,0.007921,0.007921,0.007921
23,5367.08,1.37142,0.69607,1.03542,0.86132,0.62773,0.70995,0.39614,1.29352,0.59045,1.04075,0.007822,0.007822,0.007822
24,5599.43,1.36351,0.69323,1.03073,0.85972,0.62583,0.70701,0.39233,1.29441,0.58662,1.0379,0.007723,0.007723,0.007723
25,5831.81,1.36418,0.69203,1.02961,0.85868,0.6312,0.71282,0.39901,1.28441,0.57813,1.03389,0.007624,0.007624,0.007624
26,6064.59,1.36279,0.68809,1.02965,0.86057,0.62916,0.71204,0.3979,1.28451,0.57865,1.03669,0.007525,0.007525,0.007525
27,6296.51,1.34884,0.67829,1.02604,0.8615,0.63249,0.71555,0.40202,1.28194,0.57419,1.03363,0.007426,0.007426,0.007426
28,6529.43,1.34888,0.68084,1.0287,0.86403,0.63579,0.71904,0.40409,1.27803,0.56989,1.03404,0.007327,0.007327,0.007327
29,6762.08,1.34569,0.67217,1.02599,0.85782,0.63955,0.72,0.40663,1.27518,0.56556,1.02999,0.007228,0.007228,0.007228
30,6994.18,1.33736,0.66624,1.02478,0.86246,0.63747,0.71973,0.40624,1.27015,0.56443,1.02929,0.007129,0.007129,0.007129
31,7227.07,1.34285,0.67002,1.02329,0.86629,0.63644,0.72232,0.40641,1.27131,0.5627,1.03242,0.00703,0.00703,0.00703
