epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.335,1.86785,1.59207,1.18621,0.71522,0.41745,0.46612,0.22442,1.67927,1.07029,1.0973,0.00332919,0.00332919,0.00332919
2,158.652,1.71835,1.12408,1.07934,0.75115,0.43991,0.50108,0.25499,1.62477,1.00586,1.08992,0.00659657,0.00659657,0.00659657
3,235.043,1.74736,1.10281,1.08849,0.72073,0.41738,0.47125,0.23816,1.66185,0.98117,1.10015,0.00979794,0.00979794,0.00979794
4,311.117,1.72622,1.06489,1.0906,0.74861,0.45312,0.51626,0.26424,1.60612,0.91587,1.08874,0.009703,0.009703,0.009703
5,387.023,1.66649,0.99761,1.0747,0.76512,0.48015,0.54773,0.2847,1.56117,0.86214,1.07595,0.009604,0.009604,0.009604
6,462.738,1.63601,0.95087,1.0644,0.78643,0.49119,0.56391,0.29214,1.53462,0.82554,1.06227,0.009505,0.009505,0.009505
7,538.631,1.60226,0.91563,1.0574,0.781,0.49053,0.56174,0.29294,1.51152,0.81858,1.05749,0.009406,0.009406,0.009406
8,614.327,1.59202,0.89829,1.0474,0.78216,0.51229,0.58096,0.30364,1.503,0.79693,1.05305,0.009307,0.009307,0.009307
9,689.923,1.58285,0.88532,1.04596,0.79731,0.51773,0.58897,0.3089,1.4861,0.77168,1.04992,0.009208,0.009208,0.009208
10,765.599,1.56297,0.86384,1.04389,0.79348,0.51613,0.5879,0.30933,1.48926,0.77062,1.05147,0.009109,0.009109,0.009109
11,841.258,1.55484,0.85507,1.03598,0.80522,0.52576,0.59603,0.31734,1.4683,0.76371,1.03916,0.00901,0.00901,0.00901
12,916.802,1.53887,0.83863,1.03476,0.81053,0.52884,0.60316,0.32128,1.45255,0.76041,1.03771,0.008911,0.008911,0.008911
13,992.55,1.53465,0.83345,1.03442,0.80891,0.53316,0.60847,0.32442,1.45365,0.73592,1.04349,0.008812,0.008812,0.008812
14,1068.04,1.51921,0.82171,1.03138,0.81541,0.53603,0.61019,0.32746,1.44418,0.7239,1.03469,0.008713,0.008713,0.008713
15,1143.49,1.52631,0.82066,1.03016,0.82158,0.53723,0.61715,0.33176,1.43498,0.71665,1.02888,0.008614,0.008614,0.008614
16,1218.99,1.50739,0.80725,1.02837,0.81708,0.54455,0.61983,0.33071,1.43726,0.71994,1.03383,0.008515,0.008515,0.008515
17,1294.7,1.50857,0.80108,1.01978,0.82283,0.54376,0.6203,0.33291,1.42773,0.71134,1.02718,0.008416,0.008416,0.008416
