epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.722,1.74458,1.14093,1.14858,0.75874,0.4824,0.54972,0.2733,1.5594,0.82463,1.0612,0.00332919,0.00332919,0.00332919
2,224.373,1.60792,0.89048,1.05018,0.77533,0.5096,0.57962,0.29918,1.53423,0.82084,1.05836,0.00659657,0.00659657,0.00659657
3,334.283,1.65795,0.96108,1.0703,0.78393,0.48181,0.54884,0.282,1.57426,0.86445,1.09587,0.00979794,0.00979794,0.00979794
4,444.315,1.64673,0.96509,1.07716,0.75782,0.47429,0.54079,0.27973,1.55292,0.92917,1.08449,0.009703,0.009703,0.009703
5,554.145,1.5906,0.90773,1.06537,0.79242,0.52882,0.59888,0.31602,1.48746,0.7962,1.06528,0.009604,0.009604,0.009604
6,663.766,1.56124,0.87057,1.05237,0.80578,0.53821,0.60709,0.31752,1.46185,0.76855,1.05328,0.009505,0.009505,0.009505
7,773.454,1.52413,0.83712,1.04262,0.80678,0.53542,0.60776,0.32105,1.45067,0.75353,1.043,0.009406,0.009406,0.009406
8,883.178,1.5188,0.82065,1.03523,0.81972,0.55974,0.63514,0.33759,1.44485,0.72418,1.0454,0.009307,0.009307,0.009307
9,992.863,1.50854,0.80863,1.03214,0.82924,0.56051,0.63799,0.3424,1.42575,0.7065,1.03553,0.009208,0.009208,0.009208
10,1102.34,1.4888,0.7901,1.02784,0.82498,0.55958,0.63989,0.34363,1.4289,0.71245,1.03619,0.009109,0.009109,0.009109
11,1211.85,1.4753,0.77758,1.01813,0.83758,0.56805,0.65089,0.35462,1.39985,0.69589,1.03241,0.00901,0.00901,0.00901
12,1321.3,1.46281,0.76492,1.01974,0.83612,0.57437,0.656,0.35697,1.38922,0.68653,1.02472,0.008911,0.008911,0.008911
13,1430.86,1.45864,0.75924,1.01769,0.83768,0.57968,0.66029,0.35817,1.38431,0.67082,1.02542,0.008812,0.008812,0.008812
14,1539.9,1.44278,0.75011,1.01464,0.84608,0.58101,0.66369,0.36205,1.38469,0.66397,1.02364,0.008713,0.008713,0.008713
15,1649.47,1.44908,0.74771,1.01361,0.84566,0.58109,0.66557,0.36356,1.36652,0.6547,1.01377,0.008614,0.008614,0.008614
16,1758.67,1.43058,0.7349,1.01186,0.84654,0.58748,0.66857,0.36447,1.37571,0.66045,1.01989,0.008515,0.008515,0.008515
17,1867.83,1.43376,0.7312,1.00343,0.84691,0.59308,0.67215,0.36855,1.36951,0.65044,1.0122,0.008416,0.008416,0.008416
18,1977.27,1.42597,0.72951,1.00785,0.83951,0.59355,0.67271,0.36839,1.35982,0.65175,1.0179,0.008317,0.008317,0.008317
19,2086.5,1.41789,0.72338,1.00543,0.84396,0.59513,0.67721,0.37005,1.36529,0.63874,1.01545,0.008218,0.008218,0.008218
20,2195.78,1.41744,0.7189,1.00423,0.84257,0.60034,0.68117,0.37388,1.35962,0.63921,1.01518,0.008119,0.008119,0.008119
21,2305.29,1.42192,0.71925,1.00634,0.84732,0.60034,0.681,0.37287,1.35199,0.63185,1.01105,0.00802,0.00802,0.00802
22,2414.39,1.4088,0.71004,1.00267,0.85358,0.59945,0.68507,0.37809,1.35853,0.62703,1.01415,0.007921,0.007921,0.007921
23,2523.55,1.39226,0.69493,0.99663,0.85099,0.60328,0.68591,0.37775,1.34776,0.61941,1.0104,0.007822,0.007822,0.007822
24,2633.21,1.40482,0.70341,0.99888,0.85341,0.60508,0.68821,0.37768,1.34761,0.6224,1.00985,0.007723,0.007723,0.007723
25,2742.79,1.40303,0.69802,0.99326,0.85253,0.61129,0.69392,0.38511,1.33505,0.60981,1.00579,0.007624,0.007624,0.007624
26,2852.34,1.39096,0.69279,0.99739,0.85637,0.60916,0.69316,0.38337,1.34081,0.6097,1.00783,0.007525,0.007525,0.007525
27,2962.21,1.39087,0.69194,0.99488,0.85603,0.61042,0.69636,0.38853,1.33433,0.6044,1.00311,0.007426,0.007426,0.007426
28,3071.68,1.38553,0.68605,0.99156,0.85306,0.61328,0.69526,0.38647,1.32969,0.60749,1.00012,0.007327,0.007327,0.007327
29,3181.3,1.39542,0.6915,0.99288,0.85515,0.61679,0.69753,0.38903,1.32343,0.6034,1.00126,0.007228,0.007228,0.007228
30,3291.09,1.38604,0.68344,0.99186,0.85093,0.61412,0.69622,0.3877,1.32609,0.60121,1.0049,0.007129,0.007129,0.007129
31,3400.73,1.38699,0.68619,0.98939,0.86211,0.61763,0.70126,0.39116,1.32557,0.59777,1.00131,0.00703,0.00703,0.00703
32,3510.03,1.37704,0.67667,0.98909,0.85864,0.61872,0.70335,0.39266,1.32319,0.59341,1.00014,0.006931,0.006931,0.006931
33,3619.35,1.37809,0.68156,0.9892,0.85965,0.61824,0.70278,0.39161,1.32239,0.59027,1.00202,0.006832,0.006832,0.006832
34,3728.56,1.37044,0.6728,0.99026,0.85721,0.62286,0.70566,0.39315,1.32145,0.58911,1.00088,0.006733,0.006733,0.006733
35,3837.95,1.36198,0.66607,0.98702,0.86165,0.62119,0.70744,0.39462,1.31883,0.58462,1.00036,0.006634,0.006634,0.006634
36,3947.58,1.3667,0.66655,0.98356,0.86152,0.62282,0.70897,0.39686,1.3171,0.58297,1.00022,0.006535,0.006535,0.006535
37,4057.25,1.3695,0.66592,0.985,0.86393,0.62064,0.70765,0.39491,1.31576,0.58296,1,0.006436,0.006436,0.006436
38,4166.33,1.36062,0.66271,0.98408,0.86202,0.62633,0.7107,0.39675,1.31451,0.58149,0.99932,0.006337,0.006337,0.006337
39,4275.71,1.3638,0.66382,0.98503,0.86243,0.62683,0.7112,0.39673,1.31449,0.57989,0.99931,0.006238,0.006238,0.006238
40,4385.1,1.35667,0.65884,0.98384,0.86118,0.62687,0.71106,0.39788,1.31073,0.57784,1.00038,0.006139,0.006139,0.006139
41,4494.59,1.35661,0.65687,0.98269,0.86319,0.62673,0.71214,0.39849,1.31135,0.57674,0.99959,0.00604,0.00604,0.00604
42,4603.79,1.35323,0.65496,0.98122,0.85912,0.62923,0.71294,0.39998,1.31015,0.57492,0.99854,0.005941,0.005941,0.005941
43,4712.99,1.35089,0.65161,0.98066,0.85874,0.62972,0.71357,0.40139,1.30874,0.57148,0.99524,0.005842,0.005842,0.005842
44,4822.76,1.34053,0.6443,0.97604,0.85912,0.631,0.71334,0.39989,1.31043,0.5719,0.99673,0.005743,0.005743,0.005743
45,4932.28,1.34415,0.64652,0.97906,0.85964,0.63179,0.71537,0.40215,1.30682,0.56868,0.99694,0.005644,0.005644,0.005644
46,5041.34,1.33167,0.63898,0.97634,0.86303,0.63164,0.71608,0.40267,1.3037,0.56666,0.99589,0.005545,0.005545,0.005545
47,5151.19,1.33972,0.64204,0.97634,0.86116,0.63199,0.71646,0.40218,1.30764,0.56574,0.99632,0.005446,0.005446,0.005446
48,5260.61,1.33284,0.63614,0.97429,0.86346,0.63317,0.71759,0.40264,1.30573,0.56466,0.99565,0.005347,0.005347,0.005347
49,5370.2,1.33445,0.63986,0.97452,0.86434,0.6332,0.71869,0.40341,1.30459,0.56451,0.99484,0.005248,0.005248,0.005248
50,5479.61,1.3312,0.63576,0.97607,0.86639,0.63318,0.71894,0.40411,1.30226,0.56257,0.99539,0.005149,0.005149,0.005149
51,5588.94,1.33082,0.63505,0.97416,0.86544,0.63256,0.71897,0.40406,1.30464,0.56153,0.99647,0.00505,0.00505,0.00505
52,5698.09,1.31991,0.62862,0.97529,0.86243,0.63486,0.7194,0.40398,1.30408,0.56021,0.99533,0.004951,0.004951,0.004951
53,5807.31,1.32099,0.62816,0.96924,0.86477,0.63609,0.72067,0.40529,1.30339,0.55855,0.99405,0.004852,0.004852,0.004852
54,5916.79,1.31993,0.62617,0.96961,0.86562,0.63619,0.72229,0.40596,1.30368,0.5573,0.99422,0.004753,0.004753,0.004753
55,6026.05,1.31381,0.62344,0.97171,0.8645,0.63734,0.72224,0.40727,1.30348,0.55592,0.9961,0.004654,0.004654,0.004654
56,6135.36,1.30941,0.62008,0.96901,0.86436,0.63741,0.72227,0.40721,1.30088,0.55488,0.99502,0.004555,0.004555,0.004555
57,6244.49,1.31645,0.62349,0.97151,0.86631,0.63691,0.72255,0.40712,1.30052,0.55321,0.99522,0.004456,0.004456,0.004456
58,6353.63,1.30589,0.61638,0.96952,0.86429,0.6379,0.72288,0.40764,1.30003,0.5529,0.99644,0.004357,0.004357,0.004357
