epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,555.387,1.56682,0.92754,1.14449,0.81145,0.55918,0.63725,0.33153,1.43875,0.72168,1.12442,0.0033323,0.0033323,0.0033323
2,1093.45,1.53206,0.8508,1.10995,0.80086,0.53233,0.60832,0.31853,1.45682,0.76691,1.12382,0.00659964,0.00659964,0.00659964
3,1628.06,1.60006,0.94401,1.12968,0.79634,0.51612,0.588,0.30851,1.48333,0.83174,1.1484,0.00980099,0.00980099,0.00980099
4,2162.18,1.61238,0.97858,1.14874,0.80623,0.524,0.59624,0.31633,1.45924,0.79576,1.13742,0.009703,0.009703,0.009703
5,2691.53,1.55095,0.90043,1.12514,0.81324,0.54131,0.62064,0.33253,1.42724,0.74611,1.13121,0.009604,0.009604,0.009604
6,3253.07,1.51094,0.85406,1.11622,0.82321,0.55248,0.63399,0.34415,1.40171,0.72039,1.1186,0.009505,0.009505,0.009505
7,3786.49,1.49047,0.83118,1.10905,0.83099,0.57314,0.64707,0.34917,1.3735,0.69562,1.11162,0.009406,0.009406,0.009406
8,4319.82,1.46322,0.79812,1.09732,0.85265,0.58585,0.67135,0.36557,1.35372,0.67881,1.10307,0.009307,0.009307,0.009307
9,4853.23,1.45016,0.78026,1.08585,0.84202,0.59725,0.67335,0.36929,1.34393,0.66107,1.1001,0.009208,0.009208,0.009208
10,5387.05,1.42176,0.75621,1.08514,0.84624,0.59339,0.67486,0.36866,1.35364,0.65713,1.10367,0.009109,0.009109,0.009109
11,5920.37,1.4231,0.75382,1.08274,0.85498,0.604,0.68531,0.3774,1.33204,0.63902,1.0931,0.00901,0.00901,0.00901
12,6454.45,1.40942,0.73861,1.08216,0.85587,0.60579,0.68894,0.38296,1.32145,0.62876,1.09135,0.008911,0.008911,0.008911
13,6988.2,1.39497,0.71973,1.07539,0.85622,0.6087,0.68994,0.38218,1.31618,0.61856,1.09087,0.008812,0.008812,0.008812
14,7521.43,1.39164,0.71784,1.07344,0.86297,0.61542,0.69835,0.39064,1.30505,0.61529,1.08082,0.008713,0.008713,0.008713
15,8055.02,1.38189,0.71023,1.06935,0.85593,0.62328,0.70665,0.39478,1.306,0.60523,1.08204,0.008614,0.008614,0.008614
16,8588.96,1.37631,0.70269,1.06937,0.85825,0.62384,0.70413,0.39447,1.29936,0.59985,1.08169,0.008515,0.008515,0.008515
17,9122.77,1.36804,0.69509,1.06681,0.86345,0.62264,0.70764,0.39414,1.29158,0.58837,1.07613,0.008416,0.008416,0.008416
18,9656.92,1.3623,0.6914,1.06412,0.86788,0.6275,0.71218,0.39994,1.29726,0.58723,1.07715,0.008317,0.008317,0.008317
19,10190.7,1.35368,0.67945,1.0596,0.87009,0.62903,0.71474,0.39943,1.28574,0.58172,1.07215,0.008218,0.008218,0.008218
20,10724.4,1.35341,0.67769,1.05559,0.86783,0.62987,0.7158,0.40473,1.27806,0.5747,1.07029,0.008119,0.008119,0.008119
21,11258.8,1.35035,0.67713,1.0569,0.87248,0.63192,0.71723,0.40097,1.28086,0.57039,1.07295,0.00802,0.00802,0.00802
22,11792.7,1.34637,0.66685,1.05429,0.86531,0.63951,0.7222,0.40737,1.27678,0.56775,1.06755,0.007921,0.007921,0.007921
23,12326.7,1.34121,0.66213,1.05345,0.86485,0.64482,0.72392,0.40561,1.27765,0.56479,1.07232,0.007822,0.007822,0.007822
24,12860.2,1.33576,0.65955,1.05205,0.86938,0.64138,0.72396,0.40608,1.27337,0.56312,1.06853,0.007723,0.007723,0.007723
25,13394,1.33529,0.66103,1.04854,0.87315,0.64215,0.72723,0.41166,1.26276,0.5554,1.06113,0.007624,0.007624,0.007624
26,13927.9,1.32957,0.65352,1.04895,0.8744,0.64399,0.72972,0.41284,1.25908,0.55593,1.06214,0.007525,0.007525,0.007525
27,14461.4,1.32127,0.64454,1.04444,0.87151,0.64858,0.73198,0.41494,1.26103,0.54565,1.06136,0.007426,0.007426,0.007426
28,14995,1.31672,0.6453,1.04887,0.87558,0.64757,0.73327,0.41541,1.26009,0.54526,1.06331,0.007327,0.007327,0.007327
29,15528.7,1.31481,0.64005,1.04453,0.87829,0.65058,0.73604,0.41877,1.25392,0.54179,1.05749,0.007228,0.007228,0.007228
30,16062.7,1.30775,0.63201,1.04192,0.87341,0.65263,0.73777,0.41901,1.25581,0.53816,1.05488,0.007129,0.007129,0.007129
31,16596.8,1.31172,0.63724,1.04081,0.87398,0.65245,0.73796,0.41876,1.2527,0.53715,1.06036,0.00703,0.00703,0.00703
32,17130.6,1.30935,0.63176,1.03944,0.87451,0.65482,0.73927,0.41949,1.25164,0.53747,1.05758,0.006931,0.006931,0.006931
33,17664.4,1.3031,0.62259,1.03635,0.87351,0.65818,0.74079,0.42219,1.24833,0.53142,1.05577,0.006832,0.006832,0.006832
34,18198.2,1.29757,0.62484,1.03719,0.8709,0.6582,0.74199,0.42285,1.24647,0.53001,1.05472,0.006733,0.006733,0.006733
35,18731.6,1.29752,0.62168,1.03925,0.87022,0.65889,0.74208,0.42295,1.24749,0.5293,1.05815,0.006634,0.006634,0.006634
36,19311.9,1.29592,0.62034,1.02843,0.87762,0.66043,0.74534,0.42554,1.24546,0.52693,1.05397,0.006535,0.006535,0.006535
37,19846,1.29002,0.61465,1.03147,0.87292,0.66123,0.74471,0.42493,1.24569,0.52432,1.05884,0.006436,0.006436,0.006436
38,20379.6,1.29242,0.61305,1.03792,0.87246,0.66307,0.74567,0.42554,1.24722,0.52169,1.05931,0.006337,0.006337,0.006337
39,20913.4,1.28817,0.61326,1.03711,0.87107,0.66696,0.74744,0.42759,1.24641,0.52105,1.06055,0.006238,0.006238,0.006238
40,21447.1,1.28042,0.60525,1.03424,0.87296,0.66662,0.74866,0.42688,1.24485,0.51864,1.05818,0.006139,0.006139,0.006139
41,21980.8,1.28189,0.60462,1.02998,0.87195,0.66737,0.74926,0.4279,1.24025,0.51856,1.05553,0.00604,0.00604,0.00604
42,22514.4,1.28285,0.6055,1.02715,0.87487,0.66876,0.7509,0.4303,1.23985,0.51644,1.05703,0.005941,0.005941,0.005941
43,23048.9,1.28202,0.60691,1.03062,0.87366,0.66966,0.75226,0.43013,1.23731,0.51461,1.05382,0.005842,0.005842,0.005842
44,23582.2,1.26878,0.59996,1.02065,0.87772,0.66622,0.75169,0.4307,1.23673,0.51258,1.05308,0.005743,0.005743,0.005743
45,24116,1.26974,0.5988,1.02675,0.87662,0.66892,0.75335,0.43186,1.2358,0.51221,1.05198,0.005644,0.005644,0.005644
46,24650.3,1.26803,0.5922,1.02248,0.87382,0.67143,0.75331,0.43275,1.23493,0.50908,1.048,0.005545,0.005545,0.005545
47,25184.2,1.26634,0.59215,1.01898,0.8781,0.67053,0.75423,0.43341,1.23334,0.50876,1.04735,0.005446,0.005446,0.005446
48,25717.8,1.26469,0.592,1.01974,0.87798,0.67056,0.75532,0.43487,1.23443,0.50779,1.04848,0.005347,0.005347,0.005347
49,26251.9,1.26396,0.58587,1.02,0.8781,0.67063,0.75533,0.43531,1.23311,0.50491,1.04977,0.005248,0.005248,0.005248
50,26786.3,1.2656,0.58562,1.01674,0.87828,0.67114,0.75491,0.43484,1.23174,0.50395,1.04823,0.005149,0.005149,0.005149
51,27320,1.25528,0.58358,1.01604,0.87652,0.67224,0.75559,0.43573,1.23061,0.50286,1.0477,0.00505,0.00505,0.00505
52,27853.6,1.25828,0.58236,1.01735,0.88009,0.672,0.75706,0.43598,1.23097,0.50205,1.04926,0.004951,0.004951,0.004951
53,28387.8,1.2515,0.57837,1.01288,0.87946,0.67341,0.7578,0.43668,1.23174,0.50127,1.04838,0.004852,0.004852,0.004852
54,28920.9,1.24629,0.57578,1.01559,0.87775,0.67495,0.7582,0.4366,1.23104,0.50037,1.04786,0.004753,0.004753,0.004753
55,29454.9,1.24516,0.57256,1.01416,0.87605,0.67671,0.75896,0.43692,1.2301,0.50025,1.04896,0.004654,0.004654,0.004654
56,29988.9,1.24531,0.57031,1.01489,0.88022,0.6739,0.75895,0.43703,1.22997,0.49994,1.04927,0.004555,0.004555,0.004555
57,30523.1,1.23459,0.56584,1.01168,0.87929,0.67646,0.75959,0.43798,1.22946,0.49926,1.05005,0.004456,0.004456,0.004456
58,31057.3,1.23733,0.56685,1.01239,0.87986,0.6759,0.75988,0.4379,1.2288,0.49881,1.05095,0.004357,0.004357,0.004357
59,31591,1.23509,0.56116,1.00693,0.88074,0.67636,0.76147,0.43854,1.22788,0.49681,1.0505,0.004258,0.004258,0.004258
60,32124.9,1.23339,0.56384,1.00823,0.88012,0.67702,0.76216,0.43877,1.22782,0.49617,1.05036,0.004159,0.004159,0.004159
61,32658.7,1.2285,0.55969,1.00925,0.87908,0.67886,0.76276,0.43929,1.22732,0.49633,1.05008,0.00406,0.00406,0.00406
62,33192.9,1.22539,0.55681,1.00766,0.87667,0.67983,0.76235,0.43959,1.2276,0.49565,1.05039,0.003961,0.003961,0.003961
63,33727.3,1.2233,0.55318,1.00449,0.87761,0.67873,0.76299,0.44006,1.22872,0.49532,1.05099,0.003862,0.003862,0.003862
64,34261.4,1.22102,0.55185,1.00229,0.87717,0.67961,0.7632,0.44048,1.22852,0.49426,1.05103,0.003763,0.003763,0.003763
65,34795.9,1.21829,0.55227,1.00891,0.87741,0.67968,0.76288,0.44038,1.22918,0.49424,1.05168,0.003664,0.003664,0.003664
66,35328.9,1.21115,0.54916,1.00325,0.87986,0.67868,0.7636,0.44082,1.22928,0.49348,1.05214,0.003565,0.003565,0.003565
67,35863.2,1.20946,0.54395,1.00226,0.87669,0.68056,0.76388,0.44123,1.22967,0.49276,1.05254,0.003466,0.003466,0.003466
68,36397.2,1.2033,0.53809,0.9994,0.87795,0.67983,0.76384,0.44127,1.22934,0.4925,1.0525,0.003367,0.003367,0.003367
69,36930.8,1.20801,0.54112,0.99532,0.87811,0.68047,0.76415,0.4411,1.22957,0.49177,1.05223,0.003268,0.003268,0.003268
70,37464.6,1.20293,0.54159,0.99394,0.87892,0.6796,0.76419,0.44144,1.2293,0.49192,1.05212,0.003169,0.003169,0.003169
71,37999,1.20182,0.53727,0.99374,0.87828,0.67968,0.76431,0.44171,1.22922,0.49157,1.05242,0.00307,0.00307,0.00307
72,38533,1.19816,0.53537,0.99509,0.87792,0.67986,0.76438,0.44191,1.22911,0.49122,1.05255,0.002971,0.002971,0.002971
73,39067.2,1.19062,0.52942,0.99237,0.87784,0.6806,0.76474,0.44215,1.22897,0.49068,1.05231,0.002872,0.002872,0.002872
74,39601.4,1.18889,0.52936,0.9897,0.87882,0.68073,0.76504,0.44237,1.22897,0.49056,1.05216,0.002773,0.002773,0.002773
75,40135.1,1.18163,0.52319,0.98753,0.87865,0.6806,0.76534,0.44274,1.22886,0.49009,1.05206,0.002674,0.002674,0.002674
76,40669,1.18189,0.524,0.98948,0.87847,0.68132,0.76557,0.44282,1.22905,0.48986,1.05205,0.002575,0.002575,0.002575
77,41203,1.18212,0.52543,0.98542,0.87947,0.68139,0.76583,0.44287,1.22908,0.48942,1.05209,0.002476,0.002476,0.002476
78,41737,1.17174,0.51925,0.98726,0.87965,0.68096,0.76589,0.44304,1.22899,0.48934,1.05205,0.002377,0.002377,0.002377
79,42271,1.17482,0.52101,0.98015,0.8782,0.68208,0.76628,0.44333,1.2292,0.48948,1.0522,0.002278,0.002278,0.002278
80,42804.9,1.17135,0.51846,0.98456,0.87923,0.68193,0.76641,0.44353,1.22929,0.48913,1.0522,0.002179,0.002179,0.002179
81,43339.2,1.15959,0.51115,0.97966,0.87906,0.68259,0.76704,0.44369,1.22951,0.48903,1.05245,0.00208,0.00208,0.00208
82,43872.9,1.16147,0.51186,0.98035,0.88008,0.68254,0.76744,0.4439,1.22962,0.48895,1.05257,0.001981,0.001981,0.001981
83,44407.1,1.15818,0.5083,0.97728,0.88049,0.68229,0.76771,0.44408,1.22959,0.48873,1.05271,0.001882,0.001882,0.001882
84,44941,1.15507,0.50703,0.97525,0.88013,0.68316,0.76787,0.44424,1.2299,0.48893,1.05283,0.001783,0.001783,0.001783
85,45475.3,1.15129,0.50442,0.97426,0.88064,0.68311,0.76819,0.44441,1.23002,0.48871,1.05283,0.001684,0.001684,0.001684
86,46010,1.14275,0.49973,0.97236,0.88056,0.68313,0.76817,0.44452,1.23024,0.48837,1.05303,0.001585,0.001585,0.001585
